Time,Power,Operation,FR,CR,Rho,Insert_Rho
180,2.29478E-09,1.452E-09,3.99,22.62,12.97,1032.61
181,2.29854E-09,2.24358E-09,3.99,22.62,12.97,1032.61
182,2.3023E-09,1.429E-09,3.99,22.62,12.97,1032.61
183,2.30607E-09,2.10656E-09,3.99,22.62,12.97,1032.61
184,2.30984E-09,2.3688E-09,3.99,22.62,12.97,1032.61
185,2.31391E-09,2.12815E-09,4.0098,22.62,13.05,1032.69
186,2.3176E-09,2.17471E-09,4.0001,22.62,13,1032.64
187,2.32129E-09,2.05474E-09,3.9901,22.62,12.97,1032.61
188,2.32519E-09,2.3682E-09,3.9999,22.62,13,1032.64
189,2.32902E-09,1.73426E-09,4,22.62,13,1032.64
190,2.33285E-09,2.28524E-09,4,22.62,13,1032.64
191,2.33668E-09,1.44568E-09,4,22.62,13,1032.64
192,2.34052E-09,2.19276E-09,4,22.62,13,1032.64
193,2.34436E-09,2.00872E-09,4,22.62,13,1032.64
194,2.34821E-09,2.08847E-09,4,22.62,13,1032.64
195,2.35207E-09,1.77128E-09,4,22.62,13,1032.64
196,2.35593E-09,2.12211E-09,4,22.62,13,1032.64
197,2.3598E-09,1.43586E-09,4,22.62,13,1032.64
198,2.36367E-09,2.38913E-09,4,22.62,13,1032.64
199,2.36755E-09,1.41437E-09,4,22.62,13,1032.64
200,2.37143E-09,2.1675E-09,4,22.62,13,1032.64
201,2.37532E-09,2.31597E-09,4,22.62,13,1032.64
202,2.37922E-09,2.13976E-09,4,22.62,13,1032.64
203,2.38312E-09,1.40378E-09,4,22.62,13,1032.64
204,2.38703E-09,2.1184E-09,4,22.62,13,1032.64
205,2.39094E-09,1.97396E-09,4,22.62,13,1032.64
206,2.39486E-09,2.10007E-09,4,22.62,13,1032.64
207,2.39879E-09,2.36867E-09,4,22.62,13,1032.64
208,2.40272E-09,2.17717E-09,4,22.62,13,1032.64
209,2.40666E-09,2.32922E-09,4,22.62,13,1032.64
210,2.4106E-09,2.03303E-09,4,22.62,13,1032.64
211,2.41455E-09,2.16139E-09,4,22.62,13,1032.64
212,2.41851E-09,1.38036E-09,4,22.62,13,1032.64
213,2.42247E-09,2.04671E-09,4,22.62,13,1032.64
214,2.42644E-09,2.35472E-09,4,22.62,13,1032.64
215,2.43042E-09,2.25271E-09,4,22.62,13,1032.64
216,2.4344E-09,2.46671E-09,4,22.62,13,1032.64
217,2.43839E-09,2.15349E-09,4,22.62,13,1032.64
218,2.44238E-09,2.36916E-09,4,22.62,13,1032.64
219,2.44638E-09,2.09212E-09,4,22.62,13,1032.64
220,2.45039E-09,2.45105E-09,4,22.62,13,1032.64
221,2.4544E-09,1.71551E-09,4,22.62,13,1032.64
222,2.45842E-09,2.33787E-09,4,22.62,13,1032.64
223,2.46245E-09,1.50472E-09,4,22.62,13,1032.64
224,2.46648E-09,2.28292E-09,4,22.62,13,1032.64
225,2.47052E-09,1.58295E-09,4,22.62,13,1032.64
226,2.47457E-09,2.23209E-09,4,22.62,13,1032.64
227,2.47862E-09,1.8872E-09,4,22.62,13,1032.64
228,2.48268E-09,2.26083E-09,4,22.62,13,1032.64
229,2.48674E-09,2.53821E-09,4,22.62,13,1032.64
230,2.49081E-09,2.19129E-09,4,22.62,13,1032.64
231,2.49489E-09,2.35606E-09,4,22.62,13,1032.64
232,2.49897E-09,2.01029E-09,4,22.62,13,1032.64
233,2.50307E-09,2.28803E-09,4,22.62,13,1032.64
234,2.50716E-09,1.53868E-09,4,22.62,13,1032.64
235,2.51127E-09,2.37652E-09,4,22.62,13,1032.64
236,2.51538E-09,2.05684E-09,4,22.62,13,1032.64
237,2.51949E-09,2.31476E-09,4,22.62,13,1032.64
238,2.52362E-09,2.50994E-09,4,22.62,13,1032.64
239,2.52775E-09,2.15392E-09,4,22.62,13,1032.64
240,2.53188E-09,2.46569E-09,4,22.62,13,1032.64
241,2.53603E-09,2.25382E-09,4,22.62,13,1032.64
242,2.54018E-09,2.78078E-09,4,22.62,13,1032.64
243,2.54433E-09,1.96935E-09,4,22.62,13,1032.64
244,2.5485E-09,2.36727E-09,4,22.62,13,1032.64
245,2.55267E-09,1.53079E-09,4,22.62,13,1032.64
246,2.55684E-09,2.44538E-09,4,22.62,13,1032.64
247,2.56103E-09,1.9328E-09,4,22.62,13,1032.64
248,2.56522E-09,2.34006E-09,4,22.62,13,1032.64
249,2.56941E-09,1.61065E-09,4,22.62,13,1032.64
250,2.57362E-09,2.31025E-09,4,22.62,13,1032.64
251,2.57783E-09,1.81434E-09,4,22.62,13,1032.64
252,2.58205E-09,2.37931E-09,4,22.62,13,1032.64
253,2.58627E-09,2.25298E-09,4,22.62,13,1032.64
254,2.5905E-09,2.38373E-09,4,22.62,13,1032.64
255,2.59474E-09,2.56854E-09,4,22.62,13,1032.64
256,2.59898E-09,2.34649E-09,4,22.62,13,1032.64
257,2.60323E-09,1.58348E-09,4,22.62,13,1032.64
258,2.60749E-09,2.28372E-09,4,22.62,13,1032.64
259,2.61176E-09,1.49568E-09,4,22.62,13,1032.64
